"CardNo","StartDate","Pentad","year","obs"
"2845_2600_015454_20220108",2022-01-08,"2845_2600",2022,0
"2505_2800_020406_20220101",2022-01-01,"2505_2800",2022,0
"2440_2820_020406_20220101",2022-01-01,"2440_2820",2022,0
"2440_2830_020406_20220102",2022-01-02,"2440_2830",2022,0
"2610_2815_021107_20220102",2022-01-02,"2610_2815",2022,0
"2605_2755_010610_20220101",2022-01-01,"2605_2755",2022,0
"2350_2955_020406_20220103",2022-01-03,"2350_2955",2022,0
"2435_2840_020406_20220102",2022-01-02,"2435_2840",2022,0
"2605_2750_020406_20220106",2022-01-06,"2605_2750",2022,0
"2600_2750_020406_20220106",2022-01-06,"2600_2750",2022,0
"2605_2745_021002_20220102",2022-01-02,"2605_2745",2022,0
"2515_2820_014447_20220110",2022-01-10,"2515_2820",2022,0
"2350_3130_021033_20220106",2022-01-06,"2350_3130",2022,0
"3245_1805_000976_20220105",2022-01-05,"3245_1805",2022,0
"2350_3135_021033_20220107",2022-01-07,"2350_3135",2022,0
"2800_2650_020269_20220105",2022-01-05,"2800_2650",2022,0
"2510_2805_000614_20220109",2022-01-09,"2510_2805",2022,0
"2950_3050_000296_20220104",2022-01-04,"2950_3050",2022,0
"2745_2945_017174_20220105",2022-01-05,"2745_2945",2022,0
"3205_1900_000568_20220103",2022-01-03,"3205_1900",2022,0
"2910_2700_000662_20220109",2022-01-09,"2910_2700",2022,0
"2520_2820_015816_20220110",2022-01-10,"2520_2820",2022,0
"2600_2750_021002_20220105",2022-01-05,"2600_2750",2022,0
"2420_3145_021033_20220108",2022-01-08,"2420_3145",2022,0
"2815_2930_012770_20220108",2022-01-08,"2815_2930",2022,0
"2820_2920_012770_20220107",2022-01-07,"2820_2920",2022,0
"2815_2935_012770_20220108",2022-01-08,"2815_2935",2022,0
"2550_2810_015816_20220108",2022-01-08,"2550_2810",2022,0
"2515_2820_015816_20220110",2022-01-10,"2515_2820",2022,0
"2505_2805_000614_20220109",2022-01-09,"2505_2805",2022,0
"2820_2710_002043_20220109",2022-01-09,"2820_2710",2022,1
"2815_2710_002043_20220109",2022-01-09,"2815_2710",2022,0
"2815_2715_002043_20220109",2022-01-09,"2815_2715",2022,0
"2905_2415_000073_20220106",2022-01-06,"2905_2415",2022,0
"2910_2420_000073_20220105",2022-01-05,"2910_2420",2022,0
"2905_2420_000073_20220105",2022-01-05,"2905_2420",2022,0
"2900_2430_000073_20220105",2022-01-05,"2900_2430",2022,0
"2815_2815_002043_20220105",2022-01-05,"2815_2815",2022,0
"2900_2420_000073_20220105",2022-01-05,"2900_2420",2022,0
"3320_1805_002076_20220106",2022-01-06,"3320_1805",2022,0
